x_RecommendationDescription,x_RecommendationSolution,x_RecommendationImpact,x_RecommendationCategory,x_RecommendationProvider,x_RecommendationTypeId,x_RecommendationControl,x_RecommendationMaturityLevel,x_ResourceType,x_RecommendationId,recommendationSource,SourceFile,description,acorlGuid,recommendationTypeId,recommendationControl,recommendationImpact,recommendationResourceType,recommendationMetadataState,remediationAction,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceType,x_RecommendationDetails,x_ResourceGroupName,ResourceCategory,x_RecommendationDate
"Consider ExpressRoute for Consistent, High-Volume Traffic","Azure ExpressRoute provides a private, dedicated network connection between on-premises infrastructure and Azure, offering enhanced reliability, speed, and security compared to public internet connections. 
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/expressRouteCircuits,2b4d68ae-2968-431d-84cf-f80f371ec55c,Manual,content/azure-resources/network/expressRouteCircuits/recommendations.yaml,"Consider ExpressRoute for Consistent, High-Volume Traffic",2b4d68ae-2968-431d-84cf-f80f371ec55c,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/expressRouteCircuits,Active,"Azure ExpressRoute provides a private, dedicated network connection between on-premises infrastructure and Azure, offering enhanced reliability, speed, and security compared to public internet connections. 
",Enhance reliability,False,False,False,,"[{'name': 'Azure ExpressRoute', 'url': 'https://learn.microsoft.com/en-us/azure/expressroute/expressroute-introduction'}]",YAML,,,,
SQL Database elastic pool has no associated databases,Review and remove this resource if not needed,High,Cost,Microsoft.FinOpsToolkit,50987aae-a46d-49ae-bd41-a670a4dd18bd,UsageOptimization/OrphanedResources,Preview,type,strcat(tolower(elasticPoolId),Automated,content/azure-resources/sql/servers/kql/50987aae-a46d-49ae-bd41-a670a4dd18bd.kql,,,,,,,,,,,,,,,KQL,"strcat('\""skuName\"": ",tolower(elasticPoolRG),sql,now()
tostring(properties.shortDescription.problem),tostring(properties.shortDescription.solution),tostring(properties.impact),tostring(properties.category),Azure.Advisor,tostring(properties.recommendationTypeId),tostring(properties.extendedProperties.recommendationControl),tostring(properties.extendedProperties.maturityLevel),tolower(properties.impactedField),id,Automated,content/azure-resources/advisor/advisor/kql/84a8b25f-0088-44ce-ac35-19e846b055dd.kql,,,,,,,,,,,,,,,KQL,tostring(properties.extendedProperties),tolower(resourceGroup),advisor,tostring(properties.lastUpdated)
Backup has not been updated in 90 days,Check if the virtual machine exists and is required. Delete the backup if not.,High,Cost,Microsoft.FinOpsToolkit,6397d9f8-e239-4ac2-bbb8-ee780a280293,UsageOptimization/OrphanedResources,Preview,type,strcat(tolower(resourceId),Automated,content/azure-resources/recoveryServicesVault/kql/6397d9f8-e239-4ac2-bbb8-ee780a280293.kql,,,,,,,,,,,,,,,KQL,"strcat('{\""idleBackup\"": ",tolower(resourceGroup),recoveryServicesVault,now()
The AKS cluster agent pool scale set is not utilizing Spot VMs,Consider enabling Spot VMs for this AKS cluster to optimize costs,Medium,Cost,Microsoft.FinOpsToolkit,c26abcc2-d5e6-4654-be4a-7d338e5c1e5f,UsageOptimization/OptimizeResources,Preview,type,strcat(tolower(id),Automated,content/azure-resources/compute/managedClusters/kql/c26abcc2-d5e6-4654-be4a-7d338e5c1e5f.kql,,,,,,,,,,,,,,,KQL,"strcat('{\""AutoScaleEnabled\"": ",tolower(resourceGroup),compute,now()
Virtual machine is powered off but not deallocated,Deallocate the virtual machine to ensure it does not incur in compute costs,Medium,Cost,Microsoft.FinOpsToolkit,ab2ff882-e927-4093-9d11-631be0219975,UsageOptimization/OptimizeResources,Preview,type,strcat(tolower(id),Automated,content/azure-resources/compute/virtualMachines/kql/ab2ff882-e927-4093-9d11-631be0219975.kql,,,,,,,,,,,,,,,KQL,"strcat('\""PowerState\"": ",tolower(resourceGroup),compute,now()
Windows virtual machine is not leveraging Azure Hybrid Benefit,Review the virtual machine licensing option,Medium,Cost,Microsoft.FinOpsToolkit,f326c065-b9f7-4a0e-a0f1-5a1c060bc25d,RateOptimization/Licensing,Preview,vmType,strcat(tolower(WindowsId),Automated,content/azure-resources/compute/virtualMachines/kql/f326c065-b9f7-4a0e-a0f1-5a1c060bc25d.kql,,,,,,,,,,,,,,,KQL,"strcat('{\""VMSku\"": ",tolower(vmResourceGroup),compute,now()
Unattached (orphaned) disk is incurring in storage costs,Remove or downgrade the unattached disk,High,Cost,Microsoft.FinOpsToolkit,e0c02939-ce02-4f9d-881f-8067ae7ec90f,UsageOptimization/OrphanedResources,Preview,type,strcat(tolower(DiskId),Automated,content/azure-resources/compute/disks/kql/e0c02939-ce02-4f9d-881f-8067ae7ec90f.kql,,,,,,,,,,,,,,,KQL,"strcat('{\""DiskSizeGB\"": ",tolower(resourceGroup),compute,now()
Premium Firewall without Premium Features,The Premium Firewall SKU is missing a policy with premium features (e.g.,Medium,Cost,Microsoft.FinOpsToolkit,4a826567-12d7-4d14-960f-9d3586d3b21e,UsageOptimization/OptimizeResources,Preview,type,strcat(tolower(FWID),Automated,content/azure-resources/network/azureFirewalls/kql/4a826567-12d7-4d14-960f-9d3586d3b21e.kql,,,,,,,,,,,,,,,KQL,"strcat('{\""PolicyName\"": ",tolower(resourceGroup),network,now()
Load balancer without a backend pool,Review and remove this resource if not needed,High,Cost,Microsoft.FinOpsToolkit,ab703887-fa23-4915-abdc-3defbea89f7a,UsageOptimization/OrphanedResources,Preview,type,strcat(tolower(id),Automated,content/azure-resources/network/loadBalancer/kql/ab703887-fa23-4915-abdc-3defbea89f7a.kql,,,,,,,,,,,,,,,KQL,"strcat('\""SKUName\"": ",tolower(resourceGroup),network,now()
Application Gateway without any backend pool,Review and remove this resource if not needed,High,Cost,Microsoft.FinOpsToolkit,4f69df93-5972-44e0-97cf-4343c2bcf4b8,UsageOptimization/OrphanedResources,Preview,type,strcat(tolower(id),Automated,content/azure-resources/network/applicationGateway/kql/4f69df93-5972-44e0-97cf-4343c2bcf4b8.kql,,,,,,,,,,,,,,,KQL,"strcat('{\""backendIPCount\"": ",tolower(resourceGroup),network,now()
Unattached (orphaned) public IP is incurring in networking costs,Review and remove this resource if not needed,Low,Cost,Microsoft.FinOpsToolkit,3ecbf770-9404-4504-a450-cc198e8b2a7d,UsageOptimization/OrphanedResources,Preview,type,strcat(tolower(PublicIpId),Automated,content/azure-resources/network/publicIPAddresses/kql/3ecbf770-9404-4504-a450-cc198e8b2a7d.kql,,,,,,,,,,,,,,,KQL,,tolower(resourceGroup),network,now()
